# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
J0228+3953	1140011013334	19.08	0.19	37.04586	39.88494	55869.16469	0
J0228+3953	1140011013334	19.33	0.19	37.04633	39.88516	55892.37112	0
J0228+3953	1140011013334	18.81	0.15	37.04608	39.88505	55892.37636	0
J0228+3953	1140011013334	18.60	0.14	37.04615	39.88533	55892.38168	0
J0228+3953	1140011013334	19.19	0.18	37.04597	39.88492	55892.38689	0
J0228+3953	1140011013334	18.85	0.16	37.04590	39.88471	55924.18317	0
J0228+3953	1140011013334	19.01	0.17	37.04606	39.88494	55924.18985	0
J0228+3953	1140011013334	18.70	0.15	37.04598	39.88502	55924.19657	0
J0228+3953	1140011013334	18.74	0.15	37.04616	39.88517	55924.20327	0
J0228+3953	1140011013334	18.52	0.14	37.04569	39.88543	56001.11736	0
J0228+3953	1140011013334	17.94	0.11	37.04583	39.88516	56001.12246	0
J0228+3953	1140011013334	19.10	0.18	37.04603	39.88500	56001.12756	0
J0228+3953	1140011013334	19.31	0.20	37.04534	39.88534	56001.13274	0
J0228+3953	1140011013334	19.52	0.26	37.04580	39.88513	56197.30724	0
J0228+3953	1140011013334	19.14	0.19	37.04574	39.88457	56197.32296	0
J0228+3953	1140011013334	19.02	0.19	37.04578	39.88485	56197.33281	0
J0228+3953	1140011013334	19.01	0.19	37.04569	39.88494	56226.20742	0
J0228+3953	1140011013334	19.01	0.19	37.04582	39.88470	56226.21551	0
J0228+3953	1140011013334	18.40	0.15	37.04583	39.88485	56226.22360	0
J0228+3953	1140011013334	18.97	0.19	37.04613	39.88509	56226.23165	0
J0228+3953	1140011013334	19.09	0.19	37.04603	39.88472	56246.24430	0
J0228+3953	1140011013334	18.69	0.15	37.04570	39.88546	56246.25134	0
J0228+3953	1140011013334	18.43	0.14	37.04594	39.88541	56246.25829	0
J0228+3953	1140011013334	18.91	0.16	37.04602	39.88506	56246.26485	0
J0228+3953	1140011013334	19.09	0.19	37.04606	39.88523	56252.17897	0
J0228+3953	1140011013334	18.98	0.19	37.04607	39.88484	56252.18386	0
J0228+3953	1140011013334	19.22	0.23	37.04604	39.88556	56252.18609	0
J0228+3953	1140011013334	18.48	0.13	37.04622	39.88555	56271.09574	0
J0228+3953	1140011013334	18.82	0.16	37.04588	39.88545	56271.10247	0
J0228+3953	1140011013334	18.85	0.16	37.04605	39.88514	56271.10924	0
J0228+3953	1140011013334	18.94	0.16	37.04602	39.88507	56271.11601	0
J0228+3953	1140011013334	20.22	0.33	37.04628	39.88493	56552.27597	0
J0228+3953	1140011013334	19.06	0.18	37.04594	39.88545	56552.28164	0
J0228+3953	1140011013334	20.01	0.30	37.04534	39.88596	56552.28721	0
J0228+3953	1140011013334	18.99	0.17	37.04598	39.88540	56581.21993	0
J0228+3953	1140011013334	19.79	0.25	37.04615	39.88554	56581.22699	0
J0228+3953	1140011013334	19.11	0.18	37.04603	39.88513	56592.20348	0
J0228+3953	1140011013334	18.85	0.20	37.04636	39.88534	56592.21224	0
J0228+3953	1140011013334	19.28	0.22	37.04622	39.88547	56592.22103	0
DESJ0407-5006	3049021004248	17.75	0.33	61.79304	-50.10017	53717.52976	0
DESJ0407-5006	3049021004248	18.21	0.42	61.79275	-50.10043	53717.54538	0
DESJ0407-5006	3049021004248	17.27	0.25	61.79236	-50.10040	53717.55322	0
DESJ0407-5006	3049021004248	17.68	0.21	61.79281	-50.10026	53718.57895	0
DESJ0407-5006	3049021004248	17.93	0.24	61.79308	-50.10033	53718.58943	0
DESJ0407-5006	3049021004248	17.62	0.21	61.79285	-50.10020	53718.59990	0
DESJ0407-5006	3049021004248	17.83	0.23	61.79280	-50.10034	53718.61029	0
DESJ0407-5006	3049021004248	17.75	0.23	61.79282	-50.10034	53735.57945	0
DESJ0407-5006	3049021004248	17.86	0.25	61.79268	-50.10034	53735.58860	0
DESJ0407-5006	3049021004248	17.99	0.26	61.79287	-50.10039	53735.59771	0
DESJ0407-5006	3049021004248	17.81	0.24	61.79281	-50.10032	53735.60683	0
DESJ0407-5006	3049021004248	17.83	0.21	61.79275	-50.10037	53679.71243	0
DESJ0407-5006	3049021004248	17.92	0.22	61.79281	-50.10020	53679.72173	0
DESJ0407-5006	3049021004248	17.81	0.21	61.79261	-50.10028	53679.73105	0
DESJ0407-5006	3049021004248	17.98	0.23	61.79284	-50.10033	53679.74034	0
DESJ0407-5006	3049021004248	17.62	0.21	61.79274	-50.10038	53687.58346	0
DESJ0407-5006	3049021004248	17.42	0.19	61.79300	-50.10059	53687.59216	0
